,Timestamp,Indicate your current degree of studies,Which country is your school in?,Are your classes currently being conducted online?,What platform is your online school using?,"The nature and purpose of this research have been sufficiently explained. I understand that I am free to withdraw at any time without incurring any penalty. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I Agree"" button to begin the survey. If not, thank you for your time.",1. How many of the following techniques do your teachers use in class?,3-9. Please indicate how much you agree or disagree with the following statements: [I enjoy having classes online.],3-9. Please indicate how much you agree or disagree with the following statements: [I feel motivated before class.],3-9. Please indicate how much you agree or disagree with the following statements: [I am satisfied with how my teachers conduct online classes.],3-9. Please indicate how much you agree or disagree with the following statements: [My classes are engaging.],3-9. Please indicate how much you agree or disagree with the following statements: [I am often distracted during class.],3-9. Please indicate how much you agree or disagree with the following statements: [I speak often during each class.],3-9. Please indicate how much you agree or disagree with the following statements: [I often ask the teacher Qs (either verbally or in chat)],"10. If you could change one thing about the way your online classes are designed, what would you change? Why?",11. Do you prefer online classes over in-person classes? Why or why not?,In-class assessments/quizzes,Asking students to explain concepts to the class,Debates,Small group activities where you solve a problem together,Role playing situations,Q&A with students' questions,Asking you to apply class material to a new context,assessments,explanation,debates,activities,rp,qna,application
2379,4/6/2020 4:58:21,Islamic theology,United Kingdom,Yes,"Skype and zoom, depending on the teacher",I agree,"Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,More class discussion,"I prefer Face to face classes as there is more interaction and bonds and friendships are easier to make in person.
Easier to study without distraction
No problems with connection
Can ask questions easier",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2380,4/6/2020 4:58:28,Undergraduate,France,Depending on the professor of the module; 30% online and 70% of modules are not taught at all. ,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Lectures/ Frontal teaching",Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Teach teachers how to do online school and how to use PowerPoint ,"In-person classes because my school is not equipped for online teaching and there is no uni-strategy, it's up to the individual professors. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2381,4/6/2020 4:58:30,Undergraduate,Spain,Yes,Blackboard Collaborate ,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions",Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,More interaction with the students as it is quite hard to pay attention without engaging with students ,"No, because going to class allows me to create a proper rutine, to get activated, and to talk to people.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2382,4/6/2020 4:58:35,Undergraduate,Netherlands,Yes,Google Teams,I agree,"Videos, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Agree,"More engaging for students, less like a monologue. ",In person: more motivating and i can stay focused and through the presence of a teacher I feel forced to participate ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2383,4/6/2020 4:58:35,Undergraduate,Ireland,Yes,Canvas,I agree,"In-class assessments/quizzes, Videos, Problem sets ",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,"Very little interaction from lecturers, mainly assigned work to complete with no actual teaching of the topic nor guidance ","No - topics aren’t being thoroughly covered by lecturers, mainly just notes posted online with little actual explanation of material, so essentially teaching ourselves, feels like we just aren’t finishing our modules ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2385,4/6/2020 4:58:41,Undergraduate,Australia,Yes,Recorded lectures and forums,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class",Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,I’d like to have classes where I actually get to interact with my fellow students and teacher (like zoom) my uni (for my subjects) just records the lecture and gets us to write an answer to the question for the week or fill out some stuff. A lot of my engagement has been lost because of the lack of connection. ,I prefer online lectures but in person tutorial classes. The online lectures it’s easy to do at my own pace but the tutorials feel like they’ve lost a lot of the benefit. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2386,4/6/2020 4:58:42,High school,United Kingdom,Yes,Google Teams,I agree,"Asking students to explain concepts to the class, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,quality so it can be more smooth running ,i feel way less interested and engaged online so no,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2387,4/6/2020 4:58:42,Undergraduate,Australia,Yes,Collaborate Ultra ,I agree,"Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Q&A with students' questions, Asking you to apply class material to a new context, Discussion and demonstration ",Agree,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree,To keep some online and discussion based. Some have changed to working through a document and posting our activities in a discussion board. Miss the face to face with people. We were only four weeks into uni before it became all online ,I am enjoy lying some aspects of online learning because it eliminates the hour travel time. However I miss forming relationships with class mates. Some of the tutu it’s had to go back to different countries and classes have had to change times because of it. I have two classes that clash now. I think it’s still to early to say how much I prefer it. I’m studying fine art so studio is now more independent and we lost our access to equipment. That probably the saddest part. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2388,4/6/2020 4:58:42,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Debates, Explanation using Diagrams",Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,The ability to engage more without having such a large audience ,"No, because I find them a lot more engaging and motivating in person! And it’s a lot easier to participate and I benefit from small group discussions which aren’t supported at the moment  ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2389,4/6/2020 4:58:44,High school,United Kingdom,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos",Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Teachers could distinguish between class work and extra reading/homework more so that i can plan out my time more efficiently. ,"In person! So much more comfortable, more free to talk, easier debates and more of a community feel",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2390,4/6/2020 4:58:45,Undergraduate,Belgium,Yes,Recorded Lectures,I agree,"Videos, Q&A with students' questions",Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,More interaction ,"I do, mostly because I can watch them in my own time ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2391,4/6/2020 4:58:46,Undergraduate,United Kingdom,Yes,"An online groupchat, Microsoft teams",I agree,Q&A with students' questions,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,"An actual lecture not just a chat, would make me feel more engaged","No, harder to be motivated & understand ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2392,4/6/2020 4:58:50,Undergraduate,United States,Yes,Blackboard Collaborate Ultra ,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,I think my professors have worked to the best of their ability to create these online classes. I wish it could be a bit more easily interactive - ie it’s difficult to find the space to talk during a discussion with a bunch of people and sometimes questions get missed or misunderstood if you type them into the chat function. ,I definitely prefer in person classes because I really enjoy a sense of community. I like being able to turn to the person next to me and ask if they understood the concept when I don’t and I learn better in a in person classroom setting. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2393,4/6/2020 4:58:51,High school,United States,Yes,Google Teams,I agree,"None, online",Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,"My school isn't holding any live classes, just giving assignments to complete by a certain date, so I'd like to be able to have some component of that. But also I understand it's not entirely possible to ask everyone in my district to do that because of limited access to electronic devices. It's technically more forgiving to allow students to be able to do their work on their own time and schedules",In person ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2395,4/6/2020 4:59:00,High school,United Kingdom,Yes,Microsoft teams ,I agree,"Videos, Powerpoints",Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Have office hours ,No as I like talking to people in person ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2396,4/6/2020 4:59:02,Undergraduate,United Kingdom,Yes,Google Teams,I agree,"Videos, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,More people would actually turn up,"In person, because it’s easier to go talk to your teacher one on one at the end of the class instead of having to send an email",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2398,4/6/2020 4:59:09,High school,Ireland,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos",Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,More interactive with students,I dont mind,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2399,4/6/2020 4:59:10,Undergraduate,Switzerland,Yes,Recorded Lectures,I agree,"Explanation using Diagrams, Q&A with students' questions",Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,They are only passive so more engagement in sort of quizzes during lectures,"Yes, it‘s more flexible because we can watch our recorded lectures whenever we want.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2400,4/6/2020 4:59:10,Graduate,United States,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,I would make the discussion boards anonymous. My classmates are very hesitant to give a differing opinion so all of the responses are basically the same. ,No. It is easier to infer meaning when I can see your face or hear your voice. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2401,4/6/2020 4:59:12,Undergraduate,Portugal,Yes,Zoom,I agree,Videos,Neutral,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,teachers always speak during Zoom classes and don't show any slides or graphics. It would be better with videos explaining the slides and everyone could work at their own pace and make their new routine since we are college students that can (or should) have the motivation to work everyday,no because I feel unconfortable in online classes and I don't speak at all while in-person classes makes me more confortable to ask questions,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2402,4/6/2020 4:59:13,Undergraduate,Austria,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions",Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Neutral,More engagement,Online classes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2403,4/6/2020 4:59:14,BTEC Level 3 in applied science (part of laboratory technician apprenticeship),United Kingdom,Yes,Microsoft teams,I agree,"In-class assessments/quizzes, Explanation using Diagrams, Using a PowerPoint presentation",Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Disagree,More interaction,No because I prefer the face to face interaction and having discussions with people,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2404,4/6/2020 4:59:14,college ,United Kingdom,Yes,Google Teams,I agree,Q&A with students' questions,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,instead of chatting may be voice. it’s from the teacher.,"No, it is very difficult to learn from online ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2405,4/6/2020 4:59:17,Undergraduate,Ireland,Yes,Zoom,I agree,"Explanation using Diagrams, Asking you to apply class material to a new context",Strongly Disagree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,"More interactive and engaging, maybe polls and quizzes ","No, in person it’s much easier to discuss with classmates and complete exercises.. sense of awkwardness when online as we’re not sure how much the lecturer can hear/see and afraid of being incorrect",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2407,4/6/2020 4:59:18,High school,United Kingdom,Yes,Microsoft Classroom,I agree,In-class assessments/quizzes,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Make it more independent as I prefer and work best with independent study. ,Yes because I like the independence of it. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2408,4/6/2020 4:59:19,Undergraduate,Denmark,Yes,Blackboard,I agree,"In-class assessments/quizzes, Videos",Neutral,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,I would prefer meeting through Zoom or something like it. My professors upload their powerpoint slides and study questions but I would prefer a typical class meeting through Zoom. ,No. I don’t learn as much as I don’t get the professors additional information as I would in person or an online meeting ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
